pilot,records,peaks
Kilian Probst,1,Hoch Fulen
Kris Versluis,1,Risihorn
Laurent OTTOBON,1,Mont de Fourclaz / Mont di Fourclaz
Laurent Pürro,1,Pointe de Bremingard
Leander Rankwiler,1,Garten
Lionel Moret,1,L'Aiguille
Lorenz Barchi,1,Matro
Luc Loewensberg,1,Oldenhorn
Luca Fochesato,1,Piano del Poncione
Lucien Caviezel,1,Hüenderhubel
Luis Alber,1,Piz da las Trais Linguas  - Dreisprachenspitze - Cima Garibaldi
Lukas Köpplin,1,Piz Mundaun
Ma Wey,1,Schabell
Manfred Grosse,1,Alpstein
Manfred Hackl,1,Tschipparällehore
Manuel Croci,1,Föisc
Manuel Cuany,1,Bäderhore
Manuel Vetterli,1,Hinteri Egg
Marc Pugin,1,Tour d'anzeinde
Marcel Graber,1,Wachthubel
Marcel Kämpf,1,First
Marco Del Biaggio,1,Camusio
Marco Frei,1,Brunnersberg
Marco Medici,1,Klingenstock
Marco Mächler,1,Schwammegg
Marco Renggli,1,Homad
Marco Sangermano,1,Nünalpstock
Marco Sommerfeld,1,Blutte Hubel
Marco Zaugg,1,Muttner Horn
Margelisch Yael,1,Savoleyres
